type,text
"Joke","Q: How many dadaists does it take to screw in a light bulb? A: To get to the other side."
"Joke","Q: Why is it good that there are female astronauts? A: Because if the crew gets lost, at least the woman will ask for directions."
"Joke","An Englishman, a Scott, and a Irishman walked into a pub.Each orderd a pint of beer . Then a fly landed in each one's beer . The Englishman, turning slightly green, pushed his beer away and asked for another one .The Scott took the fly out ,shrugged, and drank his beer . The Irisman pinched the flybetween his fingers and yelled "" SPIT IT OUT! ""SPIT IT OUT!"""
"Joke","yo mama so fat she had to use a pillowcase for a sock"
"Joke","Yo Mama so old George Washington was her first boyfriend."
"Joke","Eighty-year-old Bessie bursts into the recreation room of the men's retirement home. She holds her clenched fist in the air and saucily announces, ""Anyone who can guess what's in my hand can have sex with me tonight!"" A witty, elderly gentleman in the rear shouts out, ""An elephant?"" Bessie thinks a minute and replies, ""Close enough!"""
"Joke","Lets play house. You be the door and I'll slam you."
"Joke","It had snowed in Washington DC and Hillary had just arrived home and was walking into the White House when she noticed that someone had pissed in the snow, ""I love you Hillary"". Outraged she asked a secret service agent to find who had done this disgusting act. A while later the agent came back and Hillary asked if he had found the culprit. The agent said, ""I have good news and bad news. The good news is that the piss is Bills but the bad news is that the hand writing is Monica Lewinsky's.""."
"Joke","There was this Asian lady married to an English gentleman and they lived in London. The poor lady was not very proficient in English, but managed to communicate with her husband. The real problem arose whenever she had to shop for groceries. One day, she went to the butcher and wanted to buy chicken legs. She didn't know how to put forward her request, and in desperation, lifted up her skirt to show her thighs. The butcher got the message and the lady went home with chicken legs. The next day, she needed to get chicken breasts. Again, she didn't know how say it, and so she unbuttoned her blouse to show the butcher her breast. The lady got what she wanted. The 3rd day, the poor lady needed to buy sausages. Unable to find a way to communicate this, she brought her husband to the store... (Please scroll the page down) What were you thinking? Hellooooooo, her husband speaks English!!!!!"
"Joke","Three men died on Christmas Eve and were met by Saint Peter at the pearly gates. ""In honor of this holy season,"" Saint Peter said, ""you must each possess something that symbolizes Christmas to get into Heaven."" The first man fumbled through his pockets and pulled out a lighter. He flicked it on. ""It represents a candle"", he said. ""You may pass through the pearly gates"". Saint Peter said. The second man reached into his pocket and pulled out a set of keys. He shook them and said, ""They're bells."" Saint Peter said ""You may pass through the pearly gates"". The third man started searching desperately through his pockets and finally pulled out a pair of women's panties. St. Peter looked at the man with a raised eyebrow and asked, ""And just what do those symbolize?"" The man replied, ""They're Carols."""
"Joke","Paul, a guy on the local beach just couldn't make it with any of the girls, so he heads over to the lifeguard tower to see if the lifeguard has any advice for him.""Dude, it's obvious,"" says the lifeguard, ""you're wearing them baggy old swimming trunks that make ya look like an old geezer. They're years outtastyle. Your best bet is to grab yourself a pair of Spandex Speedos - abouttwo sizes too small - and drop a fist-sized potato down inside 'em. I'm tellin ya man...you'll have all the babes ya want!""The following weekend, Paul hits the beach with his spanking new tightSpeedos, and his fist-sized potato and it's worse than before. Everybodyon the beach acts disgusted as he walks by, covering their faces, turningaway, laughing, looking sick! So Paul goes back to the lifeguard again and asks him, ""What's wrong now?""""JAHEESUS!"" says the lifeguard, ""The potato goes in front!"""
"Joke","Q: How many U.S marines does it take to screw in a light bulb? A: 50. One to screw in the light bulb and the remaining 49 to guard him ."
"Joke","I feel sorry for you because you are so homely, but I feel even sorrier for other people because they have to look at you."
"Joke","A young lady goes to a new doctor for an examination, and he discovers that she has crabs. He thinks to himself ,""How am I going to her that she has crabs?""After the exam he tells her to get dressed and meet him back in his office. Once there he proceeds to tell her that she has a very unusual condition. She is quite concerned and asks him what it is. He responds that she is suffering from Nixon's Disease.She says, ""What?""He again responds, ""Nixon's Disease.""She says, ""Level with me, Doc, what does it mean?""He responds, ""Well Miss Jones, to put it very bluntly, you've got bugs in your oval orifice."""
"Joke","Bill Gates recently got married. After the wedding, Bill and his new wife got back to their honeymoon suite and later, of course, they crashed into bed. Apparently things didn't work out pretty well for Bill that night, and the next morning his new wife got up, pointed at the embarrassed Bill Gates and rather annoyed she said: ""Now I know why your company is called what it's called!"""
"Joke","Q: how many cabbage patch dolls does it take to change a light bulb? A: the question is irrelevant since you couldn't find the dolls even if you knew how many. Notes: Topical to 1983 and the difficulty of obtaining cabbage patch dolls"
"Joke","A lady bought a new Lexus. Cost a bundle. Two days later, she brought it back, complaining that the radio was not working.""Madam,"" said the sales manager, ""the audio system in this car is completely automatic. All you need to do is tell it what you want to listen to, and you will hear exactly that!""She drove out, somewhat amazed and a little confused. She looked at the radio and said, ""Nelson."" The radio responded, ""Ricky or Willie?"" She was astounded. If she wanted Beethoven, that's what she got. If she wanted Nat King Cole, she got it.She was stopped at a traffic light enjoying ""On The Road Again"" when the light turned green and she pulled out. Suddenly an enormous sports utility vehicle coming from the street she was crossing sped toward her, obviously not paying attention to the light. She swerved and narrowly missed a collision.""Idiot!"" she yelled and, from the radio, ""Ladies and gentlemen, the President of the United States."""
"Joke","A bus driver was taking a group of senior citizens on an outing.During the trip one elderly lady came up to him and told him that she thought she had been molested.The bus driver did not pay much attention to her comment until at the end of the trip another elderly lady told him that she too had been molested. The bus driver noticed an elderly man searching under the seats for something and asked if he could help him.The man told him he had lost his toupee but had not had any luck finding it because his was parted on the side and everyone he had found under the seats were parted in the middle."
"Joke","A blonde wearing headphones walks into a store and on the window it said 'No Headphones' so the clerk says, ""I'm afraid I'll have to make you take off those headphones.""The blonde paid no attention to the clerk, so he said louder ""If you don't take off those headphones I will!"".The blonde still paid no attention, so the clerk yanked the headphones off of her.Then she fainted all of a sudden.The clerk put on the headphones to see what she was listening to.All he heard was ""Breathe! Breathe! Breathe!"""
"Joke","Q: What's the difference between a lawyer getting hit by a car and a dog getting hit by a car?A: There's skid marks before the dog."
"Joke","Your mama is so fat,she jumped up in the sky and got stuck!"
"Joke","What if there were no hypothetical questions?Why does the word 'monosyllabic' have so many syllables?"
"Joke","A guy goes fishing every Saturday morning. He gets up early and eager, makes his lunch, hooks up his boat and off he goes, all day long.Well, one Saturday morning he gets up early, dresses quietly, gets his lunch made, puts on his long johns, grabs the dog and goes to the garage to hook up his boat to the truck and down the driveway he goes.As he is coming out of his garage rain is pouring down; it is like a torrential downpour. There is snow mixed in with the rain, and the wind is blowing 50 mph. Minutes later, he returns to the garage.He comes back into the house and turns the TV to the weather channel. He finds it's going to be bad weather all day long, so he puts his boat back in the garage, quietly undresses and slips back into bed.There he cuddles up to his wife's back, now with a different anticipation, and whispers,""The weather out there is terrible.""To which she sleepily replies, ""Can you believe my stupid husband is out fishing in that crap?"""
"Joke","Face it, you're gonna have to go outside eventually. Sure, Amazon.com will deliver right to your door and now even Taco Bell does deliveries, but, mark my words: some day you're going to HAVE to push away from the computer and go ... OUTSIDE!!! Here's a guide:"
"Joke","""How was your golf game, dear?"" asked Jack's wife Tracy.""Well, I was hitting pretty well, but my eyesight's gotten so bad Icouldn't see where the ball went.""""But you're seventy-five years old, Jack!"" admonished his wife,""Why don't you take my brother Scott along?""""But he's eighty-five and doesn't even play golf anymore,""protested Jack.""But he's got perfect eyesight. He could watch your ball,""Tracy pointed out.The next day Jack teed off with Scott looking on. Jack swung,and the ball disappeared down the middle of the fairway.""Do you see it?"" asked Jack.""Yup,"" Scott answered.""Well, where is it?"" yelled Jack, peering off into the distance.""I forgot."""
"Joke","Q. What do you buy a friend graduating from Law School?A. A lobotomy.Q. What did the lawyer name his daughter?A. Sue.Q. Did you hear that the Post Office just recalled their latest stamps?A. They had pictures of lawyers on them ... and people couldn't figure out which side to spit on.Q. What's the difference between a female lawyer and a pit bull?A. Lipstick.Q. What do you call 20 lawyers skydiving from an airplane?A. Skeet.Q. It was so cold last winter ... (How cold was it?) ...A. It was SO cold ... that I saw a lawyer with his hands in his own pockets.Q. Where can you find a good lawyer?A. In the city morgue.Q. Why are lawyers like nuclear weapons?A. If one side has one, the other side has to get one. Once launched, They cannot be recalled. When they land, they screw up everything forever."
"Joke","As the crowded elevator descended, Mrs. Silverman became increasinglyfurious with her husband, who was delighted to be pressed against agorgeous young blonde woman.As the elevator stopped at the main floor, the blonde suddenlywhirled, slapped Mr. Silverman, and said, 'That will teach you topinch!'Bewildered, Mr. Silverman was halfway to the parking lot with hiswife when he choked, 'I . . . I didn't pinch that girl.''Of course you didn't,' replied his wife, consolingly. 'I did.'"
"Joke","A man meets a gorgeous woman in a bar. They talk, they connect, they end up leaving together. They get back to her place, and as she shows him around her apartment, he notices that her bedroom is completely packed with teddy bears. Hundreds of small bears on a shelf all the way along the floor, medium sized ones on a shelf a little higher and huge bears on the top shelf along the wall. The man is kind of surprised that this woman would have a collection of teddy bears, especially one that's so extensive, but he decides not to mention this to her. After a night of passion, as they are lying together in the after glow the man rolls over and asks, smiling, ""Well, how was it?"" The woman says, ""You can have any prize from the BOTTOM shelf."""
"Joke","A guy was in a supermarket when he noticed an old lady following him around. Whenever he stopped, she stopped, and she also kept staring at him. She finally overtook him just before the checkout where she turned to him and said: ""I hope I haven't made you feel uncomfortable - it's just that you look so much like my late son."" ""Oh, that's ok,"" he said. ""I know it's silly,"" she continued, ""but if you called out 'Goodbye, Mother' as I leave, it would make me ever so happy."" The old lady proceeded through the checkout and as she left the supermarket, the man called out ""Goodbye Mother."" The old lady waved back, and kindly smiled. Pleased he had brought a bit of sunshine to someone's day the man went to pay for his groceries. ""That'll be 105 dollars 35,"" said the clerk. ""How come?"" inquired the man. ""I've only bought a few things!"" ""Yeah, but your mother said you'd pay for her..."""
"Joke","Your mama so stupid she got hit by a parked car"
"Joke","In pharmacology all drugs, once their patent expires, are given generic names. For example: Tylenol is Acetaminophen, Advil is Ibuprofen,and so on.The FDA is looking for a generic name for Viagra and announced today that they have settled on: MycoxafailinOther names considered were:MycoxafloppinMydixadrupinMycoxnowworkinMydixarizen......"
"Joke","Whats a blondes favorite nursury rhyme?humpme dumpme"
"Joke","Yo mamma's so poor when i asked her what for dinner she put her foot on the table and said corn.Yo mamma's so hairy, bigfoot took pictures of her!Yo mamma's so fat, she has every cateror on speed dial."
"Joke","A car breaks down along the expressway one day, so the driver eases it over onto the shoulder of the highway. He jumps out of the car, opens the trunk, and pulls out two men in trench coats.The men stand behind the car, open up their coats and start exposing themselves to the oncoming traffic. This results in one of the worst pile-ups in history. When questioned by police why he put two deviates along the side of the road, the man replied, ""I broke down and was just using my emergency flashers!"""
"Joke","With Sam dying, his wife Carol was maintaining a candlelight vigil by his side. She held his fragile hand praying and crying, this roused him from his slumber.He looked up and his pale lips said...""my darling Carol.""""Hush, my love""...she said... ""rest, don't talk.""In his tired voice...""I have something I must confess to you.""""There's nothing to confess""...replied the weeping Carol...""everything is all right, just go to sleep.""""No""...he struggles...""I must die in peace, I have something to tell you Carol...I cheated on you!""""I know""...Carol whispered as she softly stroked his forehead...""just let the poison do it's job."""
"Joke","A man and his wife are driving down the road when a cop pulls them over. The cop says to the man, ""Do you know that you were speeding?"" The man replies, ""No sir, I didn't know I was speeding."" The mans wife then yells, ""Yes you did, you knew you were speeding I've been telling you to slow down for miles."" ""SHUT UP!"" the man says to his wife, ""Shut the hell up, just sit back and be quite."" Then the cop says, ""well, since I've got you pulled over did you know that the tag on your license plate is expired?"" ""No Sir"" the man replies, ""I did not know that"" ""WHATEVER!"" His wife yells, ""I've been telling you to go get it up to date for 2 whole months now!"" ""Shut up"" the man yells to his wife again! ""Sit back and shut up, mind your own business!"" Curios, the cop walks over to the woman's side of the car and asks her, ""Does he always talk to you this way?"" ""No"" she replies, "" Only when he's drinking!"""
"Joke","A teacher asks her students if they're Yankees fans. All of the hands go up except for one student. ""Okay, Bobby. What team are you a fan of?"" ""The Red Sox."" ""Why's that?"" ""Well, my parents are both Red Sox fans, so I'm a Red Sox fan too."" ""That's not a good answer, Bobby. If your parents were both morons, would you be a moron too?"" ""No, that would make me a Yankees fan!"""
"Joke","Two young blonde women were playing golf at a foggy par three, and could see the flag, but not the green. Each hit their ball anyway. When they walked to the green, they discovered one ball about three feet from the cup, while the other ball somehow had gone directly in. The blondes tried to figure out which ball belonged to who, since they were both using Titleist number threes. Unable to decide, they returned to the Club House and asked the golf pro for a ruling. After hearing their story and congratulating them both on their superb shots under such adverse conditions the pro asked, ""Okay, so who was playing the yellow ball?"""
"Joke","You are the kind of person who, when one first meets you, one doesn't like you. But when one gets to know you better, one hates you."
"Joke","A man walks in to an auto store and askes the blonde cashier where the turtle wax is. the blonde says,""i'm sorry sir, but we don't sell pet supplies."""
"Joke","This guy goes to sit at his plane seat in first class, and finds a blonde there. He says, excuse me miss, but this is my seat. She replies, I'm blonde, I'm beautiful, I have a great body and I'm going to Florida. So the guy calls the stewardess over to help him. He explains the situation to the stewardess, and the stewardess says, miss, your seat is in coach, I'm gonna have to ask you to leave first class. The blonde response, I'm blonde, I'm beautiful, I have a great body, and I'm going to Florida. The stewardess then goes to get the captain to help her, and the captain asks the blonde to please leave first class, and go back to coach. The blonde response, I'm blonde, I'm beautiful, I have a great body, and I'm going to Florida. The captain thinks about this for a minute, then whispers something in the blondes ear. As soon as he does, she gets up and goes back to coach.. The stewardess is amazed. What did you say? The captain replies, I told her first class doesn't go to Florida."
"Joke","Q: How many US Presidents does it take to screw in a light bulb? A: None, the constitution says that only Congress can screw in light bulbs, so only Congress is responsible for the dark, which is why we need a Constitutional amendment. A: Only one. If he can handle 250,000,000 people a day I think he can handle screwing one extra light bulb."
"Joke",".. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .."
"Joke","An exhausted looking blond dragged herself in to the doctor's office. ""Doctor, there are dogs all over my neighborhood. They bark all day and all night, and I can't get a wink of sleep.""""I have good news for you,"" the doctor answered, rummaging through a drawer full of sample medications. ""Here are some new sleeping pills that work like a dream. A few of these and your trouble will be over.""""Great,"" the blond answered, ""I'll try anything. Let's give it a shot.""A few weeks later the blond returned, looking worse than ever. ""Doc, your plan is no good. I'm more tired than before!""""I don't understand how that could be"", said the doctor, shaking his head. ""Those are the strongest pills on the market!""""That may be true,"" answered the blond wearily, ""but I'm still up all night chasing those dogs and when I finally catch one it's hard getting him to swallow the pill!"""
"Joke","A man enters a cafe, sits down & notices that the special of the day is cold chili. When the waitress comes to take his order, he says, ""I'll take the cold chili."" ""I'm sorry, the gentlemen next to you got the last bowl,"" says the waitress. ""Oh. I'll just have coffee, then."" After a while the man notices that the guy next to him who got the last bowl of cold chili is finishing a rather large meal and the chili bowl is still full. He asks, ""Are you going to eat that?"" The other man replies, ""No."" ""Would you sell it to me?"" ""You can have it for free if you want it."" So the man takes the bowl of chili and begins to eat it. When he gets about half way through the bowl, he notices a dead mouse in the bowl and pukes the chili back into the bowl. The other man says sympathetically, ""That's about as far as I got, too."""
"Joke","Two boys are playing football in Golden Gate Park when one is attacked by a Rottweiler. Thinking quickly, the other boy rips off a board of the nearby fence, wedges it down the dog's collar and twists, breaking the dog's neck. A reporter who is strolling by sees the incident, and rushes over to interview the boy. ""Forty Niners' fan saves friend from vicious animal"", he starts writing in his notebook. ""But I'm not a Niners fan,"" the boy replies. ""Oakland Raiders' fan rescues friend from horrific attack,"" the reporter starts again. ""I'm not a Raiders fan either,"" the boy says. ""Then what are you?"" the reporter says. ""I'm a Cowboys fan!!!"" The reporter starts a new sheet in his notebook and writes, ""Redneck bastard kills family pet."""
"Joke","Yo mama so fat that when she walks in high heels she strikes oil."
"Joke","Keep talking. I always yawn when I'm interested."
"Joke","A Michigan circuit judge tells about a divorce suit he handled recently.""I think you might as well give your husband a divorce,"" he advised the wife.""What!"" shouted the lady.""I have lived with this bum for twenty years, and now I should make him happy?"""
"Joke","Unable to attend the funeral after his father died, a son who lived far away called his brother and told him, ""Do something nice for Dad and send me the bill."" Later, he got a bill for $200.00, which he paid. The next month, he got another bill for $200.00, which he also paid, figuring it was some incidental expense. Bills for $200.00 kept arriving every month, and finally the man called his brother again to find out what was going on. ""Well,"" said the other brother, ""you said to do something nice for Dad. So I rented him a tuxedo."""
"Joke","One day mom was cleaning juniors room and in the closet she found a bondage S+M magazine. This was highly upsetting for her.She hid the magazine until his father got home and showed it to him.He looked at it and handed it back to her with out a word.She finally asked him, ""Well what should we do about this?""Dad looked at her and said, ""Well, I don't think you should spank him."""
"Joke","A man was sitting alone in his office one night when a genie popped up out of his ashtray and said, ""And what will your third wish be?"" The man looked at the genie and said, ""Huh? How can I be getting a third wish when I haven't had a first or second wish yet?"" ""You have had two wishes already,"" the genie said, ""but your second wish was for me to put everything back the way it was before you made your first wish. Thus, you remember nothing, because everything is the way it was before you made any wishes. You have one wish left."" ""Okay,"" said the man, ""I don't believe this, but what the heck. I wish I were irresistible to women."" ""Funny,"" said the genie as it granted his wish and disappeared forever, ""that was your first wish, too."""
"Joke","A man walks into a bar with a dog. The bartender says, ""You can't bring that dog in here.""""You don't understand,"" says the man. ""This is no regular dog, he can talk.""""Listen, pal,"" says the bartemder. ""If that dog can talk, I'll give you a hundred bucks.""The man puts the dog on a stool, and asks him, ""What's on top of a house?""""Roof!""""Right. And what's on the outside of a tree?""""Bark!""""And what kind of sport is Judo?""""Rough!""""I guess you've heard enough,"" says the man. ""I'll take the hundred in twenties.""The bartender is furious. ""Listen, pal,"" he says, ""get out of here before I belt you.""As soon as they're on the street, the dog turns to the man and says, ""Do you think I should have said 'gentle'?"""
"Joke","Hey, that shirt really looks becoming on you, then again, if I were that shirt, I'd be coming too!"
"Joke","Two Buddies were drinking in a bar one night and had became extreamly drunk. One guy was so drunk that he had got sick all over his shirt. He looks at his buddy and says ""My wife is gonna kill me when I get home,this is a brand new shirt! His buddy looks at him and says ""don't worry,just put $20 in your front pocket and tell her that some guy got sick on you and gave you $20 for the cleaning bill. The guy thinks this is a exellent idea and continues to drink. He closes the bar down and heads home. When he arrives and opens the front door his wife is standing there waiting on him. ""just look at you, you drunk bastard! You even got sick all over yourself"". The man replies ""No baby, it isnt like that some guy got sick on me and look here he gave me $20 for the cleaning bill. She pulls the money out of his pocket and counts it and says ""Wait one minute theres $40 here! The guy looks at her and says "" Oh yea, he crapped in my pants too!"
"Joke","The Lord is my external-internal integrative mechanism, I shall not be deprived of gratification for my viscerogenic hungers or my need dispositions. He motivates me to orient myself toward a non-social object with affective significance. He positions me in a non-decisional situation. He maximizes my adjustment. Although I entertain masochistic and self-destructive id impulses, I will maintain contact with reality, for my superego is dominant. His analysis and tranquilizers, they comfort me. He assists in the resolution of my internal conflicts despite my Oedipal problem and psychopathic compulsions. He promotes my group identification. My personality is totally integrated. Surely my prestige and status shall be enhanced as a direct function of time, And I shall remain sociologically, psychologically and economically secure forever."
"Joke","A woman sends her clothing out to the Chinese laundry. When it comes back there are still stains in her panties. The next week she enclosesa note to the Chinaman that says,""Use more soap on panties.""This goes on for several weeks, the woman sending the same note to thelaundry.Finally fed up the Chinaman responded with his own note that said,""Use more paper on ass."""
"Joke","George W. Bush and Dick Cheney were talking, when George W. said, ""I hate all the dumb George W. jokes people tell about me."" Wise Old Cheney, feeling sorry for his old boss kid, said sage-like, ""Oh, they are only jokes. There are a lot of stupid people out there. Here, I'll prove it to you."" Now Cheney, to patronize George W, took him outside and hailed a taxi driver. ""Please take me to 29 Nickel Street to see if I'm home,"" said Cheney. The cab driver without saying a word drove them to Nickel Street, and when they finally got out, Cheney looked at George W. and said, ""See! That guy was really stupid."" ""No kidding,"" replied George W. ""There was a pay phone just around the corner. You could have called instead."""
"Joke","Two women came before wise King Solomon, dragging between them a young man in a three-piece suit. ""This young lawyer agreed to marry my daughter,"" said the first one.""No! He agreed to marry MY daughter,"" said the other.And so they haggled before the King until he called for silence.""Bring me my biggest sword,"" said Solomon, ""and I shall hew the young attorney in half. Each of you shall receive a half.""""Sounds good to me,"" said the first woman.But the other woman said, ""Oh Sire, do not spill innocent blood. Let the other woman's daughter marry him.""The wise King did not hesitate a moment. ""The attorney must marry the first lady's daughter,"" he proclaimed.""But she was willing to hew him in two!"" exclaimed the King's court.""Indeed,"" said wise King Solomon. ""That shows she is the TRUE mother-in-law."""
"Joke","There are three guys in a sauna. All of a sudden there is a beep. so guy number one slaps his hand, and guy number two asks what that was. Guy one says he got his beeper implanted in his hand. He goes off and reurns his call. A little while later he comes back and hears a cell phone jingle, and guy number two puts his hand up to his ear and starts talking. Later, guy number three who was not to up to date on this new technology asks what that was about. Guy two said he got his cell phone implanted in his hand, because he kept losing it. Guy number two walks out of the sauna and says he has to get one up on theese guys. He returns to the sauna and has three feet of toilet paper hanging out of his butt. At the same time guy one and guy 2 ask what is that, so guy 3 says Don't bother me- I'm receiving a FAX."
"Joke","A sampling of the best lightbulb jokes: Q. How many Mormons does it take to change a lightbulb? A. Seven. One to change the lightbulb, one to say the opening prayer, one to say the closing prayer, and four to bring green jello salads and red punch. Q. How many agnostics does it take to change a light bulb? A. We can't know. Q. How many motivational speakers does it take to change a light bulb? A. One to do it and every other one on earth to stand around saying that they did it first in the 80's. Q. How many deists does it take to change a light bulb? A. None. If the light bulb no longer interferes with the world, why bother interfering with the light bulb?"
"Joke","After a long day at the office, Chris came home one day to find his dog with the neighbor's pet rabbit in his mouth.The rabbit was obviously dead. Chris panicked!""If my neighbors find out my dog killed their bunny, they'll hate me forever,"" he thought.So he took the dirty, chewed up rabbit into the house, gave it a bath and blow-dried its fur.Chris knew his neighbors kept their backdoor open during the summer, so he snuck inside and put the bunny back into the cage, hoping his neighbors would think it died of natural causes.A couple of days later Chris and his neighbor saw each other outside.""Did you hear that Fluffy died?"" the neighbor asked.""Oh. Uhmm... Sorry to hear that. What happened?"" Chris mumbled.The neighbor replied: ""We just found him dead in his cage one day. But the strange thing is that the day after we buried him, we went out to dinner and someone must have dug him up, gave him a bath and put him back into the cage! There are some really sick people out there!"""
"Joke","According to statistics, last year over 17 million American families paid a lot of money for things that looked funny and didn't work. Seven million of these were antiques; the rest were college students."
"Joke","10. You grind your own coffee beans - with your teeth. 9. You sleep with your eyes open. 8. You have to watch videos in fast-forward. 7. You've worn out your third pair of running shoes this week. 6. Your coffee mug has a picture of a coffee mug. 5. You can type sixty words per minute with your toes. 4. You can jump-start your car without cables. 3. You don't sweat, you percolate. 2. Your first-aid kit contains two pints of coffee and an I.V. hookup. 1. You channel-surf faster without a remote."
"Joke","AND The Mormons, having arrived fifteen minutes late, missed the fire completely!!!!"
"Joke","All of your girlfriends kiss you with their eyes closed. Considering your face, that's the only way they could."
"Joke","A fellow walks into a bar, orders a drink, and asks the bartender if he'd like to hear a good Notre Dame joke. ""Listen buddy,"" he growled. ""See those 2 big guys on your left? They were both linemen on the Notre Dame football team. And that huge fellow on your right was a world-class wrestler at Notre Dame. That guy in the corner was Notre Dame's all-time champion weight lifter. And I lettered in 3 sports at Notre Dame. Now, are you absolutely positive you want to go ahead and tell your joke here?"" ""Nah, guess not,"" the man replied. ""I wouldn't want to have to explain it 5 times."""
"Joke","Upon landing hard, the pilot got on the PA system, ""Sorry, folks for the hard landing. It wasn't my fault, blame it on the asphalt.""On this particular flight, the airline pilot noted that he had ""hammered the plane a little hard on the runway.""The airline policy was that he had to stand at the exit and apologize to each passenger getting off the plane, saying, ""Thank you for flying XYZ airlines and sorry for the rough landing.""All the passengers had gotten off the plane, except for one little old lady, walking with a cane and wearing a hearing aid.She proceeded to walk up to the pilot and and said, ""Do you mind if I ask a question?""He said, ""Why no, ma'am, go ahead.""She then replied, ""I didn't hear the announcement. Did we land, or were we shot down?"""
"Joke","A policeman pulled a blonde over after she'd been driving the wrong way on a one-way street. Cop: ""Do you know where you were going?"" Blonde: ""No, but wherever it is, it must be bad 'cause all the people were leaving."""
"Joke","Fresh from her shower, a woman stands in front of the mirror, complaining to her husband that her breasts are too small. Instead of characteristically telling her it's not so, the husband uncharacteristically comes up with a suggestion: ""If you want your breasts to grow, then every day take a piece of toilet paper and rub it between your breasts for a few seconds."" Willing to try anything, the wife fetches a piece of toilet paper and stands in front of the mirror, rubbing it between her breasts. ""How long will this take?"" she asks. ""They'll grow larger over a period of years,"" he replies. The wife stops. ""Why do you think rubbing a piece of toilet paper between my breasts every day will make my breasts grow over the years?"" Without missing a beat the husband says, ""Worked for your butt; didn't it?"" He lived, and with a great deal of therapy may even walk again. Stupid, stupid man..."
"Joke","A blonde is terribly overweight, so her doctor puts her on a diet. ""I want you to eat regularly for 2 days, then skip a day, and repeat this procedure for 2 weeks. The next time I see you, you'll have lost at least 5 pounds."" When the blonde returned, she shocked the doctor by losing nearly 20 pounds. ""Why, that's amazing!"" the doctor said, ""Did you follow my instructions?"" The blonde nodded, ""I'll tell you though, I thought I was going to drop dead that 3rd day."" ""From hunger, you mean?"", asked the doctor."" ""No, from all that skipping."""
"Joke","A few days before her birthday a husband asked his wife, ""Dear, what would you like for your present?""""I really don't think I should say.""""How about a diamond ring?"" the husband asks.""I don't care much for diamonds.""""Well, how about a mink coat?""""You know I do not like furs."" she says.""A golden necklace?"" asks the man.""I already have three of them.""""Well, gosh, what do you want?""The wife replies, ""What I'd really like is a divorce.""""Hmmm,"" says the man, ""I wasn't planning on spending that much."""
"Joke","A man walked into a bar with his alligator and asked the bartender, ""Do you serve lawyers here?"".""Sure do,"" replied the bartender.""Good,"" said the man. ""Give me a beer, and I'll have a lawyer for my 'gator."""
"Joke","Q. What smells fishy and ends with untA. Rex Hunt"
"Joke","Yo mamma so dumb she tried to jump out the basement window."
"Joke","Q: How many Russian leaders does it take to change a light bulb? A: Nobody knows. Russian leaders don't last as long as light bulbs."
"Joke","Whats the difference between a womans paycheck and her periods?Well...:They come once a month,They get her stressed,And if one don't come...SHES IN TROUBLE."
"Joke","A couple who's been married for over 20 years were having a fight in the car during a trip for a holiday. After arguing for a moment, they decided to quit talking and silence ruled.Then after a few minutes, they passed some pigs in a farm, all making those horrible noises I don't know what they call it. Anyway, the wife looks at her husband and gives a sinister grin and says, ""Relatives of yours?""The husband replied ""Yep, in-laws."""
"Joke","Sherlock Holmes and Dr. Watson go on a camping trip, set up their tent, and fall asleep. Some hours later, Holmes wakes his faithful friend. ""Watson, look up at the sky and tell me what you see."" Watson replies, ""I see millions of stars."" ""What does that tell you?"" Watson ponders for a minute. ""Astronomically speaking, it tells me that there are millions of galaxies and potentially billions of planets. Astrologically, it tells me that Saturn is in Leo. Timewise, it appears to be approximately a quarter past three. Theologically, it's evident the Lord is all-powerful and we are small and insignificant. Meteorologically, it seems we will have a beautiful day tomorrow. What does it tell you?"" Holmes is silent for a moment, then speaks. ""Watson, you idiot, someone has stolen our tent."""
"Joke","There was this guy who worked with a help desk for a big Broadcasting company. One day, this lady called in because she didn't know why her computer wouldn't come on.He then asked her, ""Did you plug it in?"" She says ""Yes."" He then asked her, ""Did you turn in on?"" She said ""Yes. What do you think I am? Some kind of idiot?""So, he goes and takes a look at her computer. She goes, ""See? I plugged the computer into the surge protector.""The guy goes, ""Yea, but you plugged the surge protector into itself."""
"Joke","Three men languished in Purgatory.After a while, they began talking to one another.Eventually, they got around to the age-old question asked by internees everywhere: ""Whaddya in for?""The first man sighed, rolled his eyes heavenward and said ""Allah forgive me!I am a Moslem, and I once drank beer with my lunch.""The second man looked ruefully at his bound hands and said ""May the Master of the Universe be truly merciful!I am a Jew, and I had a ham-and-cheese sandwich for lunch.""The third guy remained quiet for some time, staring at the floor in abject misery.The other two prompted him gently, and finally resorted to shaking him, shouting ""Come on man!What did you do that was so awful?""The third guy, choking back a sob, said ""I guess I may as well tell you guys... you've been so honest with me.I'm an Episcopalian and, God help me, I used the wrong fork!"""
"Joke","A waiter brings the customer the steak he ordered, with his thumb over the meat as he is carrying the plate. ""Are you crazy?"" yelled the customer, ""you have your hand on my steak!"" ""What,"" answers the waiter, ""you want it to fall on the floor again?"""
